20230217	00:31:47	e868c184-284a-4622-8313-d09cfbbf0f57	POST 	undefined 	/
20230217	00:31:51	135c92ae-c444-47b5-b1c3-c93f35546cdb	GET 	undefined 	/
20230217	00:31:52	3bfb9472-f31d-4bcd-927c-01c2de5e171e	GET 	undefined 	/
20230217	00:32:16	c06250be-33f0-4963-80e8-d5ed9187ed0f	POST 	undefined 	/343
20230217	00:32:20	a4b7912e-df64-45ec-817d-55f3a6e81052	POST 	undefined 	/
20230217	00:32:56	59a3c115-f981-4373-abde-80bfbd752818	GET 	undefined 	/
20230217	00:32:56	16aa982d-e9c9-46f6-a2e9-b8b43f3239cc	GET 	undefined 	/css/style.css
20230217	00:32:58	f584b46d-7312-4769-a77f-ec71daaa4dd4	GET 	undefined 	/303023
20230217	00:32:58	fca2868a-092c-4c9d-98e1-effa13d3ecfc	GET 	undefined 	/css/style.css
20230217	00:33:03	d60d634f-65c0-4adc-be6a-5c881e16e7e3	GET 	undefined 	/css/style.css
20230217	11:29:24	07c3e117-b71e-45c4-8e8b-ac5ae260e24c	GET 	undefined 	/
20230217	11:29:24	7de4f70e-b1f0-4971-b9ab-d9fe29732684	GET 	undefined 	/css/style.css
20230217	11:29:33	8d0fff44-a329-4c7b-b54f-96edd2d288dd	GET 	undefined 	/subdir
20230217	11:29:37	dc42ef1c-836b-4e38-8c69-d51633636078	GET 	undefined 	/subdir/teste
20230217	11:29:40	92d39c53-100c-4835-999a-a486f6c28661	GET 	undefined 	/subdir/teste.html
20230217	11:29:42	72161adc-f552-4468-908e-5b159c8c17bc	GET 	undefined 	/subdir/teste.htmlr
20230217	11:29:42	17f9470d-e2c3-4c11-b77b-bb565bd8090f	GET 	undefined 	/subdir/css/style.css
20230217	11:30:34	eedfcc3f-5e53-4d86-b5b3-99d37e953929	GET 	undefined 	/subdir
20230217	11:30:37	60c68dda-6504-496b-832c-91d0c6274032	GET 	undefined 	/subdir/1
20230217	11:30:37	cacaf64c-fdb1-445a-9b26-77d4b7fecb26	GET 	undefined 	/subdir/css/style.css
20230217	12:45:32	a2fcb443-9f41-4592-bd50-1b9e30168746	GET 	undefined 	/
20230217	12:45:50	4dd7cc95-4b79-4721-a217-1e04f4cba1ee	GET 	undefined 	/
20230217	12:45:50	a853f49e-f379-42b6-95b0-f8e7d8978df4	GET 	undefined 	/css/style.css
20230217	12:45:51	a791fbdc-3617-44bb-85c6-0e4df1b616ea	GET 	undefined 	/
20230217	12:45:51	d71e6d59-611f-4677-a9c5-0822270255f8	GET 	undefined 	/css/style.css
20230217	12:46:01	63bdd144-38d9-44ec-b565-430d15b560a4	GET 	undefined 	/index.html
20230217	12:46:01	9649b7f8-ad9b-4902-8390-ac0e4c02cd1f	GET 	undefined 	/css/style.css
20230217	12:46:13	dc12cd62-4a1f-461f-90f0-22bd09ccf477	GET 	undefined 	/index.html
20230217	12:46:13	0eee9002-0e5c-49af-aed3-e5d17e1d1473	GET 	undefined 	/css/style.css
20230217	12:46:13	249a5c3e-bc53-4e87-ac02-5f4547496f0c	GET 	undefined 	/index.html
20230217	12:46:13	150663b4-d756-4323-82fe-eacfcd9ec811	GET 	undefined 	/css/style.css
20230217	12:46:13	f68eb86f-899c-4612-949a-488cce86ad3c	GET 	undefined 	/index.html
20230217	12:46:13	a3bbc3e0-708f-4aab-b2e6-79c5bce29dbd	GET 	undefined 	/css/style.css
20230217	12:46:14	decf204e-a716-413e-90cf-172e9e0ef09f	GET 	undefined 	/index.html
20230217	12:46:14	12c890d7-3a0a-4273-b8aa-3ff19a08de54	GET 	undefined 	/css/style.css
20230217	12:46:14	ad4f8c1b-360c-42d3-be65-53683ef43d65	GET 	undefined 	/index.html
20230217	12:46:14	6d2af570-e4e6-47e7-8b96-e64ba016ae99	GET 	undefined 	/css/style.css
20230217	12:46:14	88cff221-6629-4a57-bd4a-5f8d65b7122e	GET 	undefined 	/index.html
20230217	12:46:14	81215c89-5821-46a2-94f9-6a1c57dba13d	GET 	undefined 	/css/style.css
20230217	12:46:14	25b20377-ce73-4325-99dc-1abd8347d5c9	GET 	undefined 	/index.html
